id_lead,fecha_creacion,origen,programa,marca,costo,estado
1001,2023-01-01,Facebook,MBA,Marca A,25.50,Nuevo
1002,2023-01-01,Google,Marketing Digital,Marca A,30.75,Nuevo
1003,2023-01-02,Instagram,MBA,Marca B,22.30,Nuevo
1004,2023-01-02,Facebook,Finanzas,Marca A,28.45,Contactado
1005,2023-01-03,Google,Data Science,Marca B,32.10,Contactado
1006,2023-01-03,Facebook,UX/UI,Marca A,26.80,Demostraci贸n
1007,2023-01-04,Instagram,Marketing Digital,Marca B,23.40,Demostraci贸n
1008,2023-01-04,Google,MBA,Marca A,31.25,Matriculado
1009,2023-01-05,Facebook,Data Science,Marca B,27.60,Matriculado
1010,2023-01-05,Email,Finanzas,Marca A,10.20,Nuevo
1011,2023-01-06,Google,UX/UI,Marca B,33.50,Nuevo
1012,2023-01-06,Facebook,MBA,Marca A,26.40,Contactado
1013,2023-01-07,Instagram,Finanzas,Marca B,24.90,Contactado
1014,2023-01-07,Google,Marketing Digital,Marca A,29.75,Demostraci贸n
1015,2023-01-08,Facebook,Data Science,Marca B,28.30,Matriculado
1016,2023-01-08,Email,UX/UI,Marca A,12.40,Nuevo
1017,2023-01-09,Google,MBA,Marca B,30.20,Contactado
1018,2023-01-09,Facebook,Marketing Digital,Marca A,27.80,Demostraci贸n
1019,2023-01-10,Instagram,Data Science,Marca B,25.60,Matriculado
1020,2023-01-10,Google,Finanzas,Marca A,32.70,Nuevo 